Label,Characteristic,Mean,Min,Max,Std
normal,ax,-0.27776305971210236,-1.996826,1.999939,0.5790924626374382
normal,ay,0.18301077732361828,-1.984375,1.999939,0.6410233565200181
normal,az,-0.013546542029500617,-1.984375,1.999939,0.6180309548220317
normal,gx,-0.32727293033588095,-249.488556,250.129776,100.2022280598729
normal,gy,-8.877139527101473,-248.900757,250.129776,94.4326298591192
normal,gz,0.3605557970499379,-249.427475,250.129776,94.56887724370743
anomalie,ax,-0.10154055879059351,-1.984375,1.999939,0.6469884791505549
anomalie,ay,-0.10839386562150057,-1.984375,1.999939,0.6869074281652829
anomalie,az,0.24914736618141098,-1.984375,1.999939,0.5681803775907809
anomalie,gx,15.101382382978722,-249.839691,250.129776,92.39437483943516
anomalie,gy,-0.94083640793473,-248.183212,250.129776,92.81536262640034
anomalie,gz,7.016053750599903,-249.35878,250.129776,96.59836315142469
